Episode,TotalReward,TimePerEp(s),CumulativeTime(s)
1,-535.33,0.09,0.09
2,-534.34,0.07,0.16
3,-351.34,1.03,1.18
4,30.54,1.61,2.8
5,-324.85,2.55,5.34
6,-15.01,2.92,8.27
7,-112.31,2.26,10.53
8,-407.69,3.15,13.68
9,-236.15,1.28,14.96
10,-340.72,2.0,16.96
11,-311.41,3.45,20.41
12,-185.72,2.15,22.56
13,-292.63,3.4,25.96
14,-95.13,3.84,29.81
15,-120.79,3.76,33.57
16,-51.63,2.74,36.3
17,-111.23,3.47,39.77
18,-42.79,4.33,44.1
19,-340.38,13.58,57.68
20,251.78,5.0,62.68
21,-65.76,6.58,69.26
22,-170.92,4.97,74.23
23,-239.76,14.2,88.44
24,-69.12,9.41,97.85
25,-38.1,5.25,103.1
26,-80.21,3.78,106.87
27,-0.51,3.3,110.18
28,-123.0,4.72,114.9
29,-168.21,2.54,117.43
30,-43.02,5.11,122.54
31,-33.79,4.8,127.35
32,-51.43,2.59,129.94
33,-53.27,5.05,134.99
34,-108.23,2.66,137.65
35,-255.72,3.37,141.03
36,34.5,3.34,144.37
37,-92.56,22.42,166.79
38,-74.13,24.49,191.29
39,-104.96,10.61,201.9
40,-23.26,22.63,224.53
41,74.47,22.71,247.24
42,-16.58,21.47,268.71
43,-27.97,23.37,292.08
44,-0.96,22.81,314.89
45,-48.7,22.26,337.15
46,-179.89,21.68,358.83
47,114.71,19.97,378.8
48,-34.64,23.39,402.19
49,54.69,23.86,426.05
50,60.01,23.67,449.72
51,-250.8,16.89,466.61
52,-182.71,18.01,484.63
53,-308.07,23.04,507.67
54,-55.08,23.89,531.56
55,15.89,25.93,557.49
56,-230.57,15.22,572.7
57,-111.92,11.84,584.55
58,-167.94,9.85,594.4
59,-229.77,12.94,607.34
60,-270.04,14.4,621.74
61,-172.35,8.49,630.24
62,-212.87,14.45,644.69
63,-22.82,23.26,667.94
64,-88.17,14.43,682.37
65,3.87,1.81,684.18
66,-145.82,7.72,691.91
67,-160.32,8.68,700.58
68,65.05,23.31,723.9
69,-99.18,1.62,725.52
70,46.47,23.23,748.75
71,230.91,12.69,761.43
72,125.45,20.6,782.03
73,-12.11,1.93,783.96
74,40.52,22.77,806.72
75,9.82,1.37,808.09
76,-110.23,1.52,809.61
77,-42.42,1.43,811.04
78,-96.03,1.43,812.47
79,219.43,12.38,824.85
80,269.78,10.11,834.96
81,-42.15,2.56,837.52
82,84.6,23.81,861.33
83,-196.99,1.2,862.54
84,-178.89,1.56,864.1
85,-8.88,2.25,866.34
86,-168.95,1.58,867.93
87,-0.91,3.01,870.94
88,-0.37,2.32,873.26
89,-10.18,2.43,875.7
90,-32.64,2.29,877.99
91,32.38,2.53,880.52
92,-297.57,2.56,883.08
93,28.19,2.84,885.93
94,-57.82,1.93,887.86
95,-58.18,2.26,890.12
96,-80.52,1.62,891.74
97,-102.54,2.14,893.88
98,-60.8,1.88,895.75
99,37.04,23.2,918.95
100,31.58,3.0,921.95
101,12.4,2.76,924.71
102,-32.3,1.44,926.15
103,8.78,3.04,929.19
104,63.6,22.6,951.79
105,29.25,2.03,953.82
106,-5.41,3.66,957.48
107,-10.81,1.44,958.92
108,-8.12,1.54,960.46
109,18.77,2.52,962.98
110,-48.93,1.98,964.96
111,-32.77,2.74,967.71
112,-15.01,1.76,969.47
113,227.14,14.23,983.7
114,-13.13,1.26,984.95
115,-5.35,2.45,987.4
116,-7.3,2.34,989.74
117,-5.92,2.89,992.64
118,13.35,2.31,994.95
119,-84.86,2.77,997.71
120,0.79,1.84,999.56
121,-35.51,2.23,1001.79
122,224.87,9.36,1011.15
123,-29.45,2.81,1013.96
124,-17.08,2.64,1016.59
125,-3.14,3.27,1019.87
126,32.98,2.47,1022.34
127,-1.65,1.97,1024.31
128,-27.79,2.3,1026.61
129,-23.71,2.34,1028.95
130,153.68,6.14,1035.09
131,-48.41,2.57,1037.66
132,-51.35,2.16,1039.82
133,-35.5,3.04,1042.86
134,-313.09,3.43,1046.29
135,-58.35,3.07,1049.36
136,-51.35,2.07,1051.44
137,-27.95,2.46,1053.89
138,-26.41,2.67,1056.56
139,-29.29,3.05,1059.61
140,53.45,23.61,1083.22
141,-55.44,1.99,1085.21
142,-31.71,2.07,1087.28
143,-44.95,22.58,1109.86
144,-62.95,3.0,1112.87
145,-41.43,2.09,1114.96
146,-63.94,2.37,1117.33
147,-299.47,7.0,1124.33
148,-32.26,2.19,1126.52
149,-39.15,2.0,1128.52
150,-7.88,3.08,1131.6
151,-22.87,1.98,1133.58
152,-22.01,2.33,1135.91
153,-7.81,2.02,1137.92
154,-208.75,5.26,1143.19
155,88.98,22.6,1165.79
156,-2.18,2.99,1168.78
157,49.8,22.03,1190.81
158,65.7,4.36,1195.17
159,-60.2,4.84,1200.01
160,6.16,23.94,1223.95
161,32.77,3.76,1227.71
162,-35.68,8.27,1235.98
163,-278.15,10.46,1246.44
164,37.61,3.94,1250.38
165,29.01,23.09,1273.47
166,163.03,15.5,1288.97
167,67.91,23.65,1312.62
168,-13.57,23.73,1336.36
169,42.42,22.6,1358.96
170,-18.45,25.39,1384.35
171,-63.92,24.43,1408.77
172,3.3,4.78,1413.55
173,23.9,3.82,1417.37
174,28.73,22.68,1440.05
175,-44.75,24.74,1464.79
176,220.36,14.95,1479.74
177,-26.9,22.74,1502.48
178,-11.13,5.11,1507.59
179,-51.29,4.16,1511.75
180,25.28,23.65,1535.4
181,3.97,4.06,1539.45
182,-7.27,4.14,1543.59
183,40.4,3.05,1546.64
184,-32.98,3.22,1549.86
185,-16.55,24.34,1574.2
186,25.26,3.12,1577.32
187,-170.93,3.62,1580.94
188,20.92,24.28,1605.22
189,-27.67,2.98,1608.19
190,43.31,4.5,1612.7
191,5.22,4.1,1616.8
192,1.89,24.21,1641.0
193,-20.17,5.8,1646.81
194,9.14,3.81,1650.62
195,286.99,6.5,1657.11
196,-60.8,3.39,1660.51
197,-36.31,4.0,1664.51
198,1.27,6.32,1670.83
199,13.35,3.05,1673.87
200,-198.57,3.58,1677.45
201,10.89,23.73,1701.19
202,-33.51,3.78,1704.97
203,63.16,24.5,1729.47
204,-27.11,22.33,1751.8
205,207.46,22.28,1774.09
206,9.83,2.27,1776.36
207,70.14,24.07,1800.43
208,-12.85,3.08,1803.51
209,27.14,25.51,1829.02
210,99.07,23.99,1853.01
211,-28.64,3.12,1856.13
212,-50.35,2.73,1858.86
213,22.85,2.83,1861.69
214,24.15,2.61,1864.3
215,9.67,2.96,1867.26
216,243.12,12.31,1879.56
217,-8.2,2.37,1881.93
218,226.2,12.28,1894.21
219,65.74,23.21,1917.42
220,-55.12,10.35,1927.76
221,55.76,23.53,1951.29
222,272.85,7.38,1958.68
223,-30.33,5.55,1964.23
224,14.75,2.84,1967.06
225,67.52,22.41,1989.47
226,18.34,2.44,1991.91
227,257.68,9.51,2001.43
228,47.51,22.95,2024.38
229,87.7,24.1,2048.47
230,25.81,1.97,2050.45
231,-4.3,3.79,2054.24
232,73.31,23.19,2077.43
233,-51.36,6.63,2084.06
234,285.7,8.22,2092.28
235,3.36,2.17,2094.46
236,207.0,21.23,2115.68
237,73.43,22.74,2138.42
238,-156.06,7.87,2146.3
239,-17.1,2.79,2149.08
240,215.53,16.42,2165.51
241,37.25,25.85,2191.37
242,246.48,7.17,2198.54
243,-22.72,23.62,2222.16
244,124.93,20.62,2242.78
245,-39.93,23.51,2266.29
246,220.03,6.71,2273.0
247,-9.54,3.75,2276.76
248,-15.63,4.39,2281.15
249,22.65,24.09,2305.24
250,-55.2,25.61,2330.86
251,21.71,25.77,2356.63
252,99.75,24.48,2381.11
253,-11.05,25.13,2406.24
254,76.37,23.78,2430.02
255,-18.98,4.31,2434.33
256,-53.74,27.01,2461.34
257,65.95,5.23,2466.57
258,34.58,27.06,2493.63
259,35.29,23.47,2517.11
260,44.85,24.03,2541.14
261,117.96,14.67,2555.8
262,51.91,25.67,2581.48
