Episode,TotalReward,TimePerEpisode(s),CumulativeTime(s)
1,-87.44325691128017,0.05,0.06
2,-285.1670482704802,0.08,0.14
3,-85.3166297803383,0.68,0.82
4,-523.5097001525602,2.61,3.42
5,-187.8204562312382,3.28,6.71
6,-129.4822223411455,5.63,12.34
7,-273.1952844312699,12.78,25.12
8,-275.02642821822,3.24,28.36
9,16.65681696086213,7.56,35.93
10,-235.4476765878581,7.88,43.81
11,-169.74420820995425,3.48,47.29
12,-86.27532878871666,8.47,55.77
13,-211.0935474600288,4.43,60.2
14,-74.22568321535965,6.33,66.53
15,-179.38065075694368,8.8,75.33
16,-77.83636386483226,24.24,99.57
17,-75.55496482654522,25.15,124.72
18,-123.2401112008217,4.78,129.5
19,-223.89168116888766,15.75,145.25
20,-208.5177738119316,16.69,161.95
21,-78.77754235325958,24.43,186.38
22,-334.62099906814893,15.94,202.33
23,-349.8971021116867,24.14,226.47
24,-46.7084244461102,26.3,252.77
25,-21.704401661204727,24.43,277.21
26,-59.06065561482261,26.76,303.97
27,-21.08555337143645,24.3,328.28
28,-26.403702860341724,24.35,352.63
29,-138.95844276590293,1.76,354.4
30,-103.72011708496491,3.01,357.42
31,-79.87241538317397,24.93,382.35
32,-42.77994713163751,1.64,383.99
33,-69.2072730989481,1.81,385.81
34,-13.79016228186138,25.38,411.19
35,-24.50063836005431,2.26,413.45
36,-74.96530387898203,5.29,418.75
37,-110.87578572688791,25.53,444.28
38,-119.28195461593143,11.54,455.82
39,-3.105306865351551,1.44,457.27
40,-192.6116479951851,23.39,480.66
41,-120.66390336045359,26.22,506.89
42,-1.7015966445754316,2.07,508.96
43,-18.899843082092545,1.63,510.59
44,-43.9120988201275,1.78,512.37
45,11.233346396836794,3.2,515.57
46,-97.14432997195028,2.16,517.73
47,-193.78879487742108,18.57,536.3
48,-64.76138040067086,2.11,538.42
49,-88.54308978718697,1.26,539.67
50,-259.6967252587807,24.03,563.71
51,-40.076030455607736,1.55,565.26
52,-10.404777980207484,2.6,567.86
53,-172.7241833235152,9.73,577.59
54,-16.56085842008335,2.88,580.47
55,1.249112829486748,1.65,582.12
56,-174.43603299966162,9.16,591.28
57,-17.922928316285734,3.23,594.51
58,-91.07490891318042,9.91,604.43
59,20.498019598924458,1.86,606.29
60,-111.95671206953102,16.81,623.1
61,-193.2121489788347,3.77,626.87
62,-126.55498562635836,7.02,633.89
63,-168.43017412884285,16.58,650.48
64,-33.03232799173058,27.86,678.34
65,151.89065925378637,16.51,694.86
66,-30.491024761988484,1.71,696.57
67,-168.52858736534677,4.64,701.21
68,-258.9077577144492,6.87,708.09
69,-34.03040971002144,24.75,732.84
70,-71.91773545736906,25.15,757.99
71,80.15447388230413,25.91,783.91
72,41.58433314595945,1.68,785.59
73,-56.129324672086845,26.35,811.94
74,-73.15280503719886,25.58,837.52
75,23.07545884572211,6.6,844.12
76,-0.2756207175378922,24.87,868.99
77,-21.655587080563382,25.35,894.34
78,-1.6382906994506898,24.9,919.23
79,13.847840552926527,2.23,921.47
80,-34.133223205910426,25.01,946.48
81,23.83600271731128,24.9,971.39
82,20.021736715431146,25.51,996.9
83,-29.79586622320144,26.84,1023.75
84,-69.69177514059425,2.13,1025.88
85,-12.777403678431885,25.64,1051.52
86,-5.601667688332851,25.96,1077.48
87,3.1848019413422555,25.79,1103.28
88,-125.46361907599177,4.14,1107.42
89,-13.07375563482996,26.03,1133.45
90,-17.411780332434795,26.53,1159.98
91,-3.2647090972598565,26.6,1186.59
92,-47.183772949554815,5.15,1191.74
93,-61.21790049430196,3.86,1195.6
94,-46.52469286519397,25.06,1220.66
95,-29.68789048588015,26.05,1246.71
96,-25.98602093862773,26.89,1273.61
97,-35.02290994720748,2.07,1275.68
98,-7.835713453146573,26.39,1302.08
99,-0.9890728467420473,27.16,1329.25
100,7.850076913237459,27.15,1356.4
101,-6.746885424212482,25.93,1382.33
102,-39.44227443857241,25.85,1408.18
103,-14.099530130266364,26.45,1434.64
104,1.88823221464307,27.7,1462.34
105,-17.04071459959325,26.29,1488.63
106,-39.69819164693143,28.93,1517.56
107,-52.05475249866064,26.04,1543.61
108,-13.55154079203319,27.97,1571.58
109,-23.722896030907798,26.09,1597.67
110,-27.404858529709692,27.43,1625.11
111,-1.3435297740853331,26.58,1651.69
112,-59.308779196158014,5.01,1656.71
113,-11.929369146885984,26.43,1683.14
114,-87.97861935974883,25.26,1708.4
115,-14.794532253388473,26.6,1735.0
116,10.524678033290666,30.12,1765.12
117,-16.0131091763324,27.79,1792.92
118,29.72074744025565,25.54,1818.46
119,-49.24143074125703,26.47,1844.93
120,6.8654785341553906,27.25,1872.18
121,-21.54059559273379,28.13,1900.31
122,159.532320513937,26.17,1926.48
123,-15.349817323532564,26.76,1953.25
124,-87.43663205015332,6.23,1959.48
125,-59.011237251893995,6.74,1966.22
126,7.856170899269222,27.0,1993.23
127,-15.507654572314001,26.86,2020.09
128,27.538256919599537,26.68,2046.77
129,-15.236986338122021,25.97,2072.75
130,-83.53156182237188,7.49,2080.24
131,-24.483667582691382,27.98,2108.22
132,-69.01905075433172,4.44,2112.66
133,72.63784294414171,27.56,2140.22
134,51.85762457557372,26.62,2166.84
135,11.888021201223177,26.78,2193.62
136,-37.51365969017666,26.45,2220.08
137,-12.823993262360347,26.69,2246.77
138,-37.5635316416623,29.19,2275.96
139,-65.6328453489469,27.67,2303.64
140,-65.04193436350253,28.01,2331.65
141,-13.011110639832994,26.9,2358.55
142,-8.885123437024884,26.67,2385.23
143,31.5618593820947,28.97,2414.2
144,-250.03955889876175,6.19,2420.39
145,-18.45887607308824,28.96,2449.36
146,-45.91035073350882,27.29,2476.66
147,-26.8331813010529,26.54,2503.2
148,214.95626749769508,6.63,2509.84
149,-22.052185467623215,27.0,2536.84
150,-35.57281213836934,28.76,2565.61
151,-12.841937279845483,27.06,2592.67
152,-30.91311572457181,28.75,2621.42
153,10.160466856129538,30.48,2651.9
154,6.316849439145054,26.96,2678.87
155,-131.5886944940425,28.01,2706.88
156,-192.65201514146324,2.05,2708.93
