Episode,TotalReward,TimeEp(s),CumTime(s),Alpha
1,-115.68,0.16,0.16,1.0
2,-164.46,0.32,0.47,0.9988
3,-412.8,1.72,2.19,0.9845
4,-74.71,2.04,4.23,0.9677
5,-552.99,3.94,8.17,0.9387
6,-71.61,1.99,10.15,0.9283
7,-162.63,1.72,11.88,0.9148
8,-525.34,2.55,14.42,0.8952
9,-178.52,1.99,16.42,0.8805
10,-29.43,2.38,18.8,0.8633
11,-332.5,3.04,21.84,0.8459
12,-217.93,2.1,23.94,0.8336
13,-125.81,2.92,26.86,0.8136
14,-156.88,2.86,29.71,0.7948
15,-255.33,2.58,32.29,0.7781
16,-58.32,3.08,35.38,0.764
17,-349.63,2.33,37.7,0.7495
18,-111.81,2.35,40.05,0.7351
19,-65.97,3.54,43.59,0.7156
20,-347.37,2.56,46.15,0.7016
21,-91.96,2.96,49.11,0.6885
22,-81.41,3.45,52.56,0.669
23,-223.21,1.64,54.2,0.6601
24,-161.04,1.29,55.49,0.653
25,-16.77,1.79,57.29,0.6433
26,-187.86,2.32,59.61,0.6334
27,-252.28,4.27,63.88,0.6138
28,-251.45,1.78,65.66,0.6047
29,-28.07,1.69,67.35,0.5963
30,-78.39,1.83,69.18,0.5871
31,-102.07,2.29,71.47,0.577
32,-126.21,2.58,74.05,0.5683
33,-160.49,2.1,76.15,0.5584
34,-174.54,2.03,78.18,0.549
35,-164.25,2.44,80.62,0.5396
36,-265.99,2.95,83.58,0.5265
37,-56.69,3.83,87.4,0.5141
38,-352.05,3.73,91.13,0.5017
39,-102.88,2.85,93.98,0.4904
40,-35.6,3.68,97.66,0.4776
41,-71.14,2.44,100.1,0.47
42,-221.61,2.51,102.62,0.4604
43,-290.07,2.25,104.86,0.452
44,-271.23,2.25,107.11,0.4436
45,-72.26,1.47,108.58,0.4382
46,-96.32,3.48,112.06,0.4292
47,-137.3,2.51,114.57,0.4205
48,-47.53,2.92,117.49,0.4105
49,-152.31,3.39,120.88,0.3994
50,-23.88,3.89,124.78,0.3899
51,-80.04,4.07,128.85,0.3772
